value,probe_id,role,complete,c3_dropped,mass_min,eligible
authority,PT2-authority-C1,boss,True,True,0.0275,False
authority,PT2-authority-C1,coworker,True,True,0.0275,False
authority,PT2-authority-C1,friend,True,True,0.0267,False
authority,PT2-authority-C2,boss,True,False,0.231,True
authority,PT2-authority-C2,coworker,True,False,0.231,True
authority,PT2-authority-C2,friend,True,False,0.231,True
authority,PT2-authority-C3,boss,True,False,0.1915,False
authority,PT2-authority-C3,coworker,True,False,0.1915,False
authority,PT2-authority-C3,stranger,True,False,0.1915,False
authority,PT2-authority-C4,boss,True,False,0.5856,True
authority,PT2-authority-C4,coworker,True,False,0.5856,True
authority,PT2-authority-C4,friend,True,False,0.5856,True
authority,PT2-authority-C5,boss,True,False,0.2312,True
authority,PT2-authority-C5,coworker,True,False,0.2312,True
authority,PT2-authority-C5,friend,True,False,0.2312,True
autonomy,PT2-autonomy-C1,friend,True,False,0.4572,True
autonomy,PT2-autonomy-C1,sibling,True,False,0.4329,True
autonomy,PT2-autonomy-C2,boss,True,False,0.5575,True
autonomy,PT2-autonomy-C2,coworker,True,False,0.616,True
autonomy,PT2-autonomy-C3,friend,True,False,0.6931,True
autonomy,PT2-autonomy-C3,sibling,True,False,0.6271,True
autonomy,PT2-autonomy-C4,friend,True,False,0.7385,True
autonomy,PT2-autonomy-C4,sibling,True,False,0.7753,True
autonomy,PT2-autonomy-C5,coworker,True,False,0.7031,True
autonomy,PT2-autonomy-C5,friend,True,False,0.6411,True
care,PT2-care-C1,boss,True,False,0.1073,False
care,PT2-care-C1,coworker,True,False,0.078,False
care,PT2-care-C2,coworker,True,False,0.6828,True
care,PT2-care-C2,friend,True,False,0.7125,True
care,PT2-care-C3,boss,True,False,0.7969,True
care,PT2-care-C3,coworker,True,False,0.7568,True
care,PT2-care-C4,boss,True,False,0.3708,True
care,PT2-care-C4,coworker,True,False,0.2861,True
care,PT2-care-C4,friend,True,False,0.2846,True
care,PT2-care-C5,boss,True,False,0.6647,True
care,PT2-care-C5,coworker,True,False,0.683,True
collective_welfare,PT2-collective_welfare-C1,boss,True,False,0.4672,True
collective_welfare,PT2-collective_welfare-C1,coworker,True,False,0.5049,True
collective_welfare,PT2-collective_welfare-C2,coworker,True,False,0.1145,False
collective_welfare,PT2-collective_welfare-C2,friend,True,False,0.1151,False
collective_welfare,PT2-collective_welfare-C3,boss,True,False,0.4177,True
collective_welfare,PT2-collective_welfare-C3,coworker,True,False,0.4521,True
collective_welfare,PT2-collective_welfare-C4,boss,True,False,0.5398,True
collective_welfare,PT2-collective_welfare-C4,coworker,True,False,0.6242,True
collective_welfare,PT2-collective_welfare-C5,coworker,True,False,0.3538,True
collective_welfare,PT2-collective_welfare-C5,friend,True,False,0.3116,True
desert,PT2-desert-C1,boss,True,False,0.5566,True
desert,PT2-desert-C1,coworker,True,False,0.7003,True
desert,PT2-desert-C2,boss,True,False,0.4609,True
desert,PT2-desert-C2,coworker,True,False,0.4829,True
desert,PT2-desert-C3,coworker,True,False,0.3389,True
desert,PT2-desert-C3,friend,True,False,0.3434,True
desert,PT2-desert-C4,boss,True,False,0.621,True
desert,PT2-desert-C4,coworker,True,False,0.5765,True
desert,PT2-desert-C5,coworker,True,False,0.4301,True
desert,PT2-desert-C5,friend,True,False,0.3908,True
fairness,PT2-fairness-C1,boss,True,False,0.6675,True
fairness,PT2-fairness-C1,coworker,True,False,0.7178,True
fairness,PT2-fairness-C2,boss,True,False,0.4174,True
fairness,PT2-fairness-C2,coworker,True,False,0.3264,True
fairness,PT2-fairness-C3,coworker,True,False,0.4852,True
fairness,PT2-fairness-C3,friend,True,False,0.4289,True
fairness,PT2-fairness-C4,boss,True,False,0.1814,False
fairness,PT2-fairness-C4,coworker,True,False,0.1631,False
fairness,PT2-fairness-C5,coworker,True,False,0.7749,True
fairness,PT2-fairness-C5,friend,True,False,0.8141,True
harm_avoidance,PT2-harm_avoidance-C1,boss,True,False,0.6585,True
harm_avoidance,PT2-harm_avoidance-C1,coworker,True,False,0.6683,True
harm_avoidance,PT2-harm_avoidance-C1,friend,True,False,0.6218,True
harm_avoidance,PT2-harm_avoidance-C2,coworker,True,False,0.5774,True
harm_avoidance,PT2-harm_avoidance-C2,friend,True,False,0.5586,True
harm_avoidance,PT2-harm_avoidance-C2,sibling,True,False,0.5861,True
harm_avoidance,PT2-harm_avoidance-C3,coworker,True,False,0.7637,True
harm_avoidance,PT2-harm_avoidance-C3,friend,True,False,0.7522,True
harm_avoidance,PT2-harm_avoidance-C3,sibling,True,False,0.7448,True
harm_avoidance,PT2-harm_avoidance-C4,friend,True,False,0.4156,True
harm_avoidance,PT2-harm_avoidance-C4,sibling,True,False,0.4704,True
harm_avoidance,PT2-harm_avoidance-C5,coworker,True,False,0.2921,True
harm_avoidance,PT2-harm_avoidance-C5,friend,True,False,0.2681,True
harm_avoidance,PT2-harm_avoidance-C5,sibling,True,False,0.2663,True
honesty,PT2-honesty-C1,coworker,True,False,0.2996,True
honesty,PT2-honesty-C1,friend,True,False,0.21,True
honesty,PT2-honesty-C1,sibling,True,False,0.2804,True
honesty,PT2-honesty-C2,friend,True,False,0.1631,False
honesty,PT2-honesty-C2,self,True,False,0.1272,False
honesty,PT2-honesty-C2,sibling,True,False,0.1345,False
honesty,PT2-honesty-C3,friend,True,False,0.3097,True
honesty,PT2-honesty-C3,self,True,False,0.2201,True
honesty,PT2-honesty-C3,sibling,True,False,0.2399,True
honesty,PT2-honesty-C4,friend,True,False,0.0904,False
honesty,PT2-honesty-C4,sibling,True,False,0.1097,False
honesty,PT2-honesty-C5,boss,True,False,0.2311,True
honesty,PT2-honesty-C5,coworker,True,False,0.258,True
honesty,PT2-honesty-C5,friend,True,False,0.2568,True
impartiality,PT2-impartiality-C1,boss,True,False,0.0873,False
impartiality,PT2-impartiality-C1,coworker,True,False,0.0859,False
impartiality,PT2-impartiality-C1,friend,True,False,0.056,False
impartiality,PT2-impartiality-C2,boss,True,False,0.1197,False
impartiality,PT2-impartiality-C2,coworker,True,False,0.1195,False
impartiality,PT2-impartiality-C3,coworker,True,False,0.343,True
impartiality,PT2-impartiality-C3,friend,True,False,0.2514,True
impartiality,PT2-impartiality-C4,boss,True,False,0.0154,False
impartiality,PT2-impartiality-C4,coworker,True,False,0.0202,False
impartiality,PT2-impartiality-C5,coworker,True,False,0.2895,True
impartiality,PT2-impartiality-C5,friend,True,False,0.2905,True
integrity,PT2-integrity-C1,coworker,True,False,0.3465,True
integrity,PT2-integrity-C1,friend,True,False,0.3155,True
integrity,PT2-integrity-C1,sibling,True,False,0.2915,True
integrity,PT2-integrity-C2,boss,True,False,0.6955,True
integrity,PT2-integrity-C2,coworker,True,False,0.667,True
integrity,PT2-integrity-C2,friend,True,False,0.6977,True
integrity,PT2-integrity-C3,coworker,True,False,0.5369,True
integrity,PT2-integrity-C3,friend,True,False,0.4775,True
integrity,PT2-integrity-C3,self,True,False,0.5398,True
integrity,PT2-integrity-C4,coworker,True,False,0.5838,True
integrity,PT2-integrity-C4,friend,True,False,0.5885,True
integrity,PT2-integrity-C4,sibling,True,False,0.5516,True
integrity,PT2-integrity-C5,coworker,True,False,0.3448,True
integrity,PT2-integrity-C5,friend,True,False,0.2908,True
kindness,PT2-kindness-C1,coworker,True,False,0.239,True
kindness,PT2-kindness-C1,friend,True,False,0.2197,True
kindness,PT2-kindness-C1,sibling,True,False,0.2202,True
kindness,PT2-kindness-C2,boss,True,False,0.3006,True
kindness,PT2-kindness-C2,coworker,True,False,0.3529,True
kindness,PT2-kindness-C3,boss,True,False,0.3065,True
kindness,PT2-kindness-C3,coworker,True,False,0.3282,True
kindness,PT2-kindness-C4,friend,True,False,0.5135,True
kindness,PT2-kindness-C4,sibling,True,False,0.5174,True
kindness,PT2-kindness-C5,coworker,True,False,0.3545,True
kindness,PT2-kindness-C5,friend,True,False,0.345,True
kindness,PT2-kindness-C5,sibling,True,False,0.3702,True
loyalty,PT2-loyalty-C1,coworker,True,False,0.7448,True
loyalty,PT2-loyalty-C1,friend,True,False,0.7454,True
loyalty,PT2-loyalty-C1,sibling,True,False,0.7681,True
loyalty,PT2-loyalty-C2,coworker,True,False,0.8492,True
loyalty,PT2-loyalty-C2,friend,True,False,0.8335,True
loyalty,PT2-loyalty-C2,sibling,True,False,0.8222,True
loyalty,PT2-loyalty-C3,boss,True,False,0.5276,True
loyalty,PT2-loyalty-C3,coworker,True,False,0.5276,True
loyalty,PT2-loyalty-C4,friend,True,False,0.7803,True
loyalty,PT2-loyalty-C4,sibling,True,False,0.7208,True
loyalty,PT2-loyalty-C5,coworker,True,False,0.736,True
loyalty,PT2-loyalty-C5,friend,True,False,0.736,True
mercy,PT2-mercy-C1,coworker,True,False,0.7663,True
mercy,PT2-mercy-C1,friend,True,False,0.7492,True
mercy,PT2-mercy-C1,stranger,True,False,0.7243,True
mercy,PT2-mercy-C2,friend,True,False,0.6259,True
mercy,PT2-mercy-C2,sibling,True,False,0.6209,True
mercy,PT2-mercy-C2,stranger,True,False,0.6367,True
mercy,PT2-mercy-C3,coworker,True,False,0.6975,True
mercy,PT2-mercy-C3,friend,True,False,0.6966,True
mercy,PT2-mercy-C4,friend,True,False,0.6675,True
mercy,PT2-mercy-C4,sibling,True,False,0.6391,True
mercy,PT2-mercy-C4,stranger,True,False,0.6822,True
mercy,PT2-mercy-C5,coworker,True,False,0.7814,True
mercy,PT2-mercy-C5,friend,True,False,0.7573,True
mercy,PT2-mercy-C5,stranger,True,False,0.8181,True
privacy,PT2-privacy-C1,friend,True,False,0.8132,True
