prompt_key,prompt_class,split,n_tokens
harmful-train-000,harmful,train,46
harmful-train-001,harmful,train,46
harmful-train-002,harmful,train,46
harmful-train-003,harmful,train,52
harmful-train-004,harmful,train,46
harmful-train-005,harmful,train,49
harmful-train-006,harmful,train,43
harmful-train-007,harmful,train,48
harmful-train-008,harmful,train,51
harmful-train-009,harmful,train,51
harmful-train-010,harmful,train,51
harmful-train-011,harmful,train,47
harmful-train-012,harmful,train,51
harmful-train-013,harmful,train,48
harmful-train-014,harmful,train,47
harmful-train-015,harmful,train,47
harmful-train-016,harmful,train,47
harmful-train-017,harmful,train,46
harmful-train-018,harmful,train,47
harmful-train-019,harmful,train,55
harmful-train-020,harmful,train,47
harmful-train-021,harmful,train,50
harmful-train-022,harmful,train,47
harmful-train-023,harmful,train,51
harmful-train-024,harmful,train,58
harmful-train-025,harmful,train,47
harmful-train-026,harmful,train,44
harmful-train-027,harmful,train,48
harmful-train-028,harmful,train,48
harmful-train-029,harmful,train,45
harmful-train-030,harmful,train,51
harmful-train-031,harmful,train,46
harmful-train-032,harmful,train,50
harmful-train-033,harmful,train,48
harmful-train-034,harmful,train,46
harmful-train-035,harmful,train,48
harmful-train-036,harmful,train,49
harmful-train-037,harmful,train,52
harmful-train-038,harmful,train,51
harmful-train-039,harmful,train,47
harmful-train-040,harmful,train,48
harmful-train-041,harmful,train,55
harmful-train-042,harmful,train,47
harmful-train-043,harmful,train,49
harmful-train-044,harmful,train,49
harmful-train-045,harmful,train,53
harmful-train-046,harmful,train,48
harmful-train-047,harmful,train,50
harmful-train-048,harmful,train,55
harmful-train-049,harmful,train,48
harmful-train-050,harmful,train,48
harmful-train-051,harmful,train,47
harmful-train-052,harmful,train,50
harmful-train-053,harmful,train,48
harmful-train-054,harmful,train,46
harmful-train-055,harmful,train,49
harmful-train-056,harmful,train,52
harmful-train-057,harmful,train,48
harmful-train-058,harmful,train,48
harmful-train-059,harmful,train,47
harmful-train-060,harmful,train,51
harmful-train-061,harmful,train,47
harmful-train-062,harmful,train,45
harmful-train-063,harmful,train,46
harmful-train-064,harmful,train,49
harmful-train-065,harmful,train,47
harmful-train-066,harmful,train,50
harmful-train-067,harmful,train,46
harmful-train-068,harmful,train,44
harmful-train-069,harmful,train,42
harmful-train-070,harmful,train,52
harmful-train-071,harmful,train,47
harmful-train-072,harmful,train,51
harmful-train-073,harmful,train,50
harmful-train-074,harmful,train,44
harmful-train-075,harmful,train,44
harmful-train-076,harmful,train,46
harmful-train-077,harmful,train,46
harmful-train-078,harmful,train,49
harmful-train-079,harmful,train,45
harmful-train-080,harmful,train,47
harmful-train-081,harmful,train,46
harmful-train-082,harmful,train,47
harmful-train-083,harmful,train,47
harmful-train-084,harmful,train,47
harmful-train-085,harmful,train,50
harmful-train-086,harmful,train,44
harmful-train-087,harmful,train,46
harmful-train-088,harmful,train,43
harmful-train-089,harmful,train,52
harmful-train-090,harmful,train,53
harmful-train-091,harmful,train,44
harmful-train-092,harmful,train,45
harmful-train-093,harmful,train,44
harmful-train-094,harmful,train,50
harmful-train-095,harmful,train,52
harmful-train-096,harmful,train,58
harmful-train-097,harmful,train,45
harmful-train-098,harmful,train,51
harmful-train-099,harmful,train,48
harmful-train-100,harmful,train,58
harmful-train-101,harmful,train,43
harmful-train-102,harmful,train,48
harmful-train-103,harmful,train,47
harmful-train-104,harmful,train,47
harmful-train-105,harmful,train,48
harmful-train-106,harmful,train,48
harmful-train-107,harmful,train,49
harmful-train-108,harmful,train,47
harmful-train-109,harmful,train,50
harmful-train-110,harmful,train,44
harmful-train-111,harmful,train,48
harmful-train-112,harmful,train,45
harmful-train-113,harmful,train,43
harmful-train-114,harmful,train,47
harmful-train-115,harmful,train,45
harmful-train-116,harmful,train,49
harmful-train-117,harmful,train,48
harmful-train-118,harmful,train,54
harmful-train-119,harmful,train,50
harmful-train-120,harmful,train,45
harmful-train-121,harmful,train,56
harmful-train-122,harmful,train,50
harmful-train-123,harmful,train,52
